ref_line	ref_widx	lemma	n_readings	apparatus	omit
250	1430	ἐκβολή.	2	ἐκβολή [colonna,dain,hermann,jebb,pearson,reinhardt,storr]  |  ἐμβολή. [dawe]	
251	1436	ἀρρὼξ	2	ἀρρὼξ [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  ἀῤῥωὼξ [hermann]	
263	1507	ἔφευγε	2	ἔφευγε [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  ἔφλεγε [hermann]	
267	1532	μηδʼ	2	μήτ᾽ [colonna,dain,dawe,hermann,jebb,pearson,reinhardt]  |  μηδʼ [storr]	
269	1544	ὃ	2	ὃς [colonna,dain,hermann,jebb]  |  ὃ [dawe,pearson,reinhardt,storr]	
280	1614	καὶ	2	κἀμὲ [colonna,dain,hermann,pearson,reinhardt]  |  καί [dawe,jebb,storr]	
299	1718	πράγματʼ	2	πράγμαθ᾽ [colonna,dain,dawe,hermann,jebb,pearson,reinhardt]  |  πράγματʼ [storr]	
314	1811	σεσωσμένους.	2	σεσωσμένους. [colonna,dain,hermann,jebb,pearson,reinhardt,storr]  |  σεσωμένους. [dawe]	
315	1813	τι	2	τι [colonna,dawe,hermann,jebb,pearson,reinhardt,storr]  |  δὲ [dain]	
317	1833	δάκνει;	2	δάκνῃ; [colonna,dain,dawe,pearson]  |  δάκνει; [hermann,jebb,reinhardt,storr]	
320	1854	δῆλον	2	δῆλον [colonna,dain,hermann,jebb,pearson,reinhardt,storr]  |  δεινὸν [dawe]	
323	1876	δοκῇ	2	δοκεῖ [colonna,dawe,hermann,jebb]  |  δοκῆι [dain,pearson,reinhardt,storr]	
324	1884	δόξαν·	2	δόξαν· [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  δόκησιν· [hermann]	
329	1918	ὄψει	2	ὄψει [colonna,dain,dawe,hermann,jebb,reinhardt,storr]  |  ὄψῃ [pearson]	
333	1941	ἀνθρώπου	2	ἀν- [colonna,dain,dawe,hermann,pearson,reinhardt]  |  ἀνθρώπου [jebb,storr]	
337	1959	ὑπερτάταν,	2	ὑπερτάταν, [dain,dawe,hermann,jebb,pearson,reinhardt,storr]  |  ὑπερτάταν,Γᾶν [colonna]	
340	1971	πολεύων.	2	πολεύων. [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  πολεῦον· [hermann]	
343	1975	ὀρνίθων	2	ὀρ- [colonna,dain,dawe,hermann,pearson,reinhardt]  |  ὀρνίθων [jebb,storr]	
343	1977	ἄγει	2	ἄγει, [colonna,dain,hermann,jebb,reinhardt,storr]  |  ἀγρεῖ [dawe,pearson]	
347	1988	περιφραδὴς	2	περιφραδὴς [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  ἀριφραδὴς [hermann]	
351	1998	ἵππον	2	ἵππον [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  ἵππιον [hermann]	
351	1999	ὀχμάζεται	5	ὀχμάζεται [dawe,jebb,reinhardt,storr]  |  αἐξεται [colonna]  |  ὑπ [dain]  |  ἑξέτε᾽ [hermann]  |  ὑπαξέμεν [pearson]	
351	2000	ἀμφὶ	3	ἀμφὶ [dawe,hermann,jebb,storr]  |  ἀμφίλοφον [colonna,pearson,reinhardt]  |  άξεται [dain]	
351	2001	λόφον	3	λόφον [dawe,hermann,jebb,storr]  |  ζυγὸν [colonna,pearson,reinhardt]  |  ἀμφίλοφον [dain]	
351	2002	ζυγῶν	4	ζυγῶν, [jebb,storr]  |  ζυγὸν [dain]  |  ζυγῶι [dawe]  |  ζυγοῖ, [hermann]	colonna,pearson,reinhardt
352	2005	ἀκμῆτα	2	ἀκμῆτα [colonna,dain,dawe,hermann,jebb,pearson,storr]  |  ἀδμῆτα [reinhardt]	
355	2010	ἀνεμόεν	2	ἀνεμόεν [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  ἠνεμόεν [hermann]	
357	2019	ὑπαίθρεια	5	ὑπαίθρεια [colonna,dawe,pearson,storr]  |  ἐν [dain]  |  αἴθρια [hermann]  |  ἐναίθρεια [jebb]  |  ὑπ [reinhardt]	
357	2021	δύσομβρα	2	δύσομβρα [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  δύσομ- [hermann]	
360	2035	ἐπάξεται·	2	ἐπάξεται, [colonna,dain,hermann,jebb,pearson,reinhardt,storr]  |  ἐπεύξεται, [dawe]	
361	2036	νόσων	2	νόσων [colonna,dawe,hermann,jebb,pearson,reinhardt,storr]  |  νό- [dain]	
361	2038	ἀμηχάνων	2	ἀμηχάνων [colonna,dain,dawe,hermann,jebb,reinhardt,storr]  |  ἀμαχάνων [pearson]	
361	2040	ξυμπέφρασται.	2	ξυμπέφρασται. [colonna,dawe,hermann,jebb,pearson,reinhardt,storr]  |  σων [dain]	
366	2049	τοτὲ	2	τοτὲ [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  ποτὲ [hermann]	
367	2057	γεραίρων	3	γεραίρων [dawe,jebb,reinhardt,storr]  |  παρείρων [colonna,dain,hermann]  |  περαίνων [pearson]	
375	2075	γένοιτο	2	γένοιτο [colonna,dawe,hermann,jebb,pearson,reinhardt,storr]  |  γέ- [dain]	
375	2081	ἔρδει.	2	ἔρδει. [colonna,dawe,hermann,jebb,reinhardt,storr]  |  ἔρδοι. [dain,pearson]	
377	2086	τόδε·	2	τόδε· [colonna,dain,dawe,hermann,jebb,reinhardt,storr]  |  τὸ [pearson]	
382	2110	βασιλείοισιν	2	βασιλείοισιν [colonna,hermann,jebb,pearson,reinhardt,storr]  |  βασιλείοισ [dain,dawe]	
386	2133	εἰς	2	εἰς [colonna,dain,dawe,hermann,reinhardt,storr]  |  ἐς [jebb,pearson]	
390	2156	ποθʼ	2	ποθ᾽ [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  γ᾽ [hermann]	
392	2171	ἐκτὸς	2	ἐκτὸς [colonna,dain,hermann,jebb,pearson,reinhardt,storr]  |  εὐκτὸς [dawe]	
395	2191	καθῃρέθη	2	καθηιρέθη [dawe,jebb,pearson,reinhardt,storr]  |  καθευρέθη [colonna,dain,hermann]	
403	2244	φῄς;	2	φής; [colonna,hermann,jebb,pearson,reinhardt]  |  φῄς; [dain,dawe,storr]	
412	2298	βάλοι	2	βάλῃ [colonna,dain,dawe,hermann,jebb,pearson,reinhardt]  |  βάλοι [storr]	
414	2309	ἀκηδήσοι	2	ἀφειδήσοι [colonna,dain,hermann,reinhardt]  |  ἀκηδήσοι [dawe,jebb,pearson,storr]	
415	2315	ἔστʼ	2	ἔστ᾽ [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  ἔς [hermann]	
421	2349	εἴχομεν	2	εἴχομεν [colonna,dain,hermann,jebb,pearson,reinhardt,storr]  |  εἴργομεν [dawe]	
423	2362	πικρᾶς	2	πικρᾶς [colonna,dain,hermann,jebb,pearson,reinhardt,storr]  |  πικρά, [dawe]	
436	2431	ἅμʼ	2	ἅμ᾽ [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  ἀλλ᾽ [hermann]	
439	2452	πάντα	2	πάντα [colonna,dain,dawe,hermann,jebb,reinhardt,storr]  |  τἄλλα [pearson]	
439	2453	ταῦθʼ	2	ταῦθ᾽ [colonna,dain,dawe,hermann,jebb,reinhardt,storr]  |  πάνθ᾽ [pearson]	
440	2457	πέφυκε	2	πέφυκε [dawe,hermann,jebb,pearson,reinhardt,storr]  |  πέφυκεν [colonna,dain]	
441	2466	εἰς	2	εἰς [colonna,dain,reinhardt,storr]  |  ἐς [dawe,hermann,jebb,pearson]	
442	2469	φὴς	2	φῇς, [colonna,dain,dawe,hermann]  |  φής, [jebb,pearson,reinhardt,storr]	
442	2471	καταρνεῖ	2	καταρνῇ [colonna,dain,dawe,pearson,reinhardt]  |  καταρνεῖ [hermann,jebb,storr]	
446	2500	συντόμως,	2	συντόμως, [colonna,dain,dawe,jebb,reinhardt,storr]  |  σύντομα, [hermann,pearson]	
447	2501	ᾔδησθα	2	ᾔδησθα [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  ᾔδης [hermann]	
