# work: tlg0011.tlg007
# base (canonical axis): perseus-grc2
# target: campbell1879-grc1
# generated: 2026-09-02  method: exact anchors plus local sequence alignment
base	target	type	score	review
374	374	exact	1.000	
375	375	exact	1.000	
376	376	exact	1.000	
377	377	exact	1.000	
378	378	exact	1.000	
379	379	exact	1.000	
380	380	match	0.966	
381	381	exact	1.000	
382	382	exact	1.000	
383	383	match	0.968	
384	384	exact	1.000	
385	385	exact	1.000	
386	386	exact	1.000	
387	387	exact	1.000	
388	388	exact	1.000	
389	389	exact	1.000	
390	390	exact	1.000	
391	391	exact	1.000	
392	392	exact	1.000	
393	393	exact	1.000	
394	394	exact	1.000	
395	395	exact	1.000	
396	396	exact	1.000	
397	397	exact	1.000	
398	398	exact	1.000	
399	399	exact	1.000	
400	400	exact	1.000	
401	401	match	0.982	
402	402	exact	1.000	
403	403	exact	1.000	
404	404	exact	1.000	
405	405	match	0.955	
406	406	exact	1.000	
407	407	exact	1.000	
408	408	exact	1.000	
409	409	exact	1.000	
410	410	exact	1.000	
411	411	exact	1.000	
412	412	exact	1.000	
413	413	exact	1.000	
414	414	exact	1.000	
415	415	exact	1.000	
416	416	exact	1.000	
417	417	exact	1.000	
418	418	exact	1.000	
419	419	exact	1.000	
420	420	exact	1.000	
421	421	match	0.984	
422	422	match	0.966	
423	423	exact	1.000	
424	424	match	0.983	
425	425	exact	1.000	
426	426	exact	1.000	
427	427	exact	1.000	
428	428	exact	1.000	
429	429	exact	1.000	
430	430	match	0.968	
431	431	exact	1.000	
432	432	match	0.964	
433	433	exact	1.000	
434	434	exact	1.000	
435	435	exact	1.000	
436	436	match	0.921	
437	437	exact	1.000	
438	438	exact	1.000	
439	439	exact	1.000	
440	440	exact	1.000	
441	441	exact	1.000	
442	442	exact	1.000	
443	443	exact	1.000	
444	444	exact	1.000	
445	445	exact	1.000	
446	446	exact	1.000	
447	447	exact	1.000	
448	448	exact	1.000	
449	449	exact	1.000	
450	450	exact	1.000	
451	451	match	0.967	
452	452	exact	1.000	
453	453	exact	1.000	
454	454	exact	1.000	
455	455	exact	1.000	
456	456	exact	1.000	
457	457	match	0.906	
458	458	match	0.944	
459	459	match	0.900	
460	460	exact	1.000	
461	461	exact	1.000	
462	462	exact	1.000	
463	463	exact	1.000	
464	464	exact	1.000	
465	465	exact	1.000	
466	466	exact	1.000	
467	467	exact	1.000	
468	468	exact	1.000	
469	469	exact	1.000	
470	470	exact	1.000	
471	471	exact	1.000	
472	472	exact	1.000	
473	473	exact	1.000	
474	474	exact	1.000	
475	475	match	0.947	
476	476	exact	1.000	
477	477	exact	1.000	
478	478	exact	1.000	
479	479	exact	1.000	
480	480	exact	1.000	
481	481	exact	1.000	
482	482	exact	1.000	
483	483	exact	1.000	
484	484	exact	1.000	
485	485	exact	1.000	
486	486	exact	1.000	
487	487	exact	1.000	
488	488	match	0.938	
489	489	exact	1.000	
490	490	exact	1.000	
491	491	exact	1.000	
492	492	exact	1.000	
493	493	exact	1.000	
494	494	exact	1.000	
495	495	exact	1.000	
496	496	match	0.968	
497	497	exact	1.000	
498	498	exact	1.000	
499	499	exact	1.000	
500	500	exact	1.000	
501	501	exact	1.000	
502	502	match	0.862	
503	503	exact	1.000	
504	504	match	0.986	
505	505	exact	1.000	
506	506	exact	1.000	
507	507	exact	1.000	
508	508	exact	1.000	
509	509	match	0.954	
