ref_line	ref_widx	lemma	n_readings	apparatus	omit
86	540	ἔσει	2	ἔσηι [brown,colonna,dain,dawe,griffith,lj,pearson,reinhardt]  |  ἔσει [benloew,boeckh,bothe,hermann,jebb,storr]	
87	541	σιγῶσʼ,	2	σιγῶσ᾽, [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  σύ [bothe]	
90	562	δυνήσει	2	δυνήσηι [brown,colonna,dain,dawe,griffith,lj,pearson,reinhardt]  |  δυνήσει [benloew,boeckh,bothe,hermann,jebb,storr]	
92	575	θηρᾶν	2	θηρᾶν [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  θηρᾷν [bothe]	
93	582	ἐχθαρεῖ	2	ἐχθαρῆι [brown,colonna,dain,dawe,griffith,lj,pearson,reinhardt]  |  ἐχθαρεῖ [benloew,boeckh,bothe,hermann,jebb,storr]	
94	590	προσκείσει	4	προσκείσει [benloew,boeckh,bothe,hermann,jebb,storr]  |  προσκείσῃ [dain,griffith,lj,pearson,reinhardt]  |  προσκλήισηι [brown,dawe]  |  προσχείσῃ [colonna]	
96	606	οὐ	2	οὐ [benloew,boeckh,bothe,brown,colonna,dain,dawe,griffith,hermann,jebb,pearson,reinhardt,storr]  |  οὖν [lj]	
97	609	ὥστε	2	ὥστε [benloew,bothe,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  ὥοτε [boeckh]	
99	625	ἔρχει,	2	ἔρχηι, [brown,colonna,dain,dawe,griffith,lj,pearson,reinhardt]  |  ἔρχει, [benloew,boeckh,bothe,hermann,jebb,storr]	
100	632	ἀελίου,	2	ἀελίου, [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  ἀελίοιο, [bothe]	
100	633	τὸ	2	τὸ [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  κἀλ- [bothe]	
100	634	κάλλιστον	3	κάλ- [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,lj,pearson,reinhardt]  |  κάλλιστον [jebb,storr]  |  λιστον [bothe]	
101	639	προτέρων	2	προτέρων [benloew,brown,colonna,dawe,griffith,hermann,jebb,lj,reinhardt,storr]  |  πρότερον [boeckh,bothe,dain,pearson]	
102	642	ποτʼ,	2	πότ᾽, [boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  ποτὲ, [benloew,bothe]	
105	647	Διρκαίων	2	Διρκαί- [brown,colonna,dain,dawe,griffith,lj,pearson,reinhardt]  |  Διρκαίων [benloew,boeckh,bothe,hermann,jebb,storr]	
106	653	Ἀργόθεν	5	Ἀργόθεν [benloew,brown,colonna,dawe,hermann,jebb,lj,pearson,reinhardt,storr]  |  Ἀργέϊον [boeckh]  |  Ἀργόθε [bothe]  |  Ἀπιόθεν [dain]  |  Ἀργολικὸν [griffith]	
106	654	ἐκβάντα	3	ἐκβάντα [jebb,storr]  |  πρὶν [bothe]  |  ἒκ [reinhardt]	benloew,boeckh,brown,colonna,dain,griffith,hermann,lj,pearson
107	659	ὀξυτέρῳ	3	ὀξυτέρῳ [benloew,boeckh,bothe,dain,griffith,hermann,jebb,pearson,reinhardt,storr]  |  ὀξυτόρῳ [colonna,dawe,lj]  |  ὀξυτόνωι [brown]	
110	662	ὃς	2	ὃν [benloew,boeckh,colonna,dain,dawe,griffith,hermann,pearson,reinhardt]  |  ὃς [bothe,brown,jebb,lj,storr]	
110	664	ἡμετέρᾳ	2	ἁμετέρᾳ [benloew,boeckh,bothe,brown,dawe,griffith,hermann,pearson]  |  ἡμετέρᾳ [colonna,dain,jebb,lj,reinhardt,storr]	
110	665	γᾷ	2	γᾷ [benloew,boeckh,bothe,brown,colonna,dawe,griffith,hermann,jebb,pearson,reinhardt,storr]  |  γῇ [dain,lj]	
110	666	Πολυνείκους	2	Πολυνείκης [benloew,boeckh,colonna,dain,dawe,griffith,hermann,pearson,reinhardt]  |  Πολυνείκους [bothe,brown,jebb,lj,storr]	
113	673	ἀετὸς	2	αἰετὸς [benloew,boeckh,bothe,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt]  |  ἀετὸς [storr]	
113	674	εἰς	3	ἐς [benloew,boeckh,bothe,hermann,lj,pearson,reinhardt]  |  εἰς [colonna,dain,griffith,jebb,storr]  |  ὣς [brown,dawe]	
113	675	γᾶν	2	γᾶν [benloew,boeckh,bothe,brown,colonna,dawe,griffith,hermann,jebb,pearson,reinhardt,storr]  |  γῆν [dain,lj]	
113	677	ὑπερέπτα,	2	ὑπερέπτα, [benloew,boeckh,bothe,brown,colonna,dawe,griffith,hermann,jebb,lj,pearson,storr]  |  ὑπερέπτη, [dain,reinhardt]	
116	688	κορύθεσσιν.	2	κορύθεσσιν. [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,lj,reinhardt,storr]  |  κορύθεσσι. [bothe,jebb,pearson]	
117	693	φονώσαισιν	3	φονώ- [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,lj,pearson,reinhardt]  |  φονώσαισιν [jebb,storr]  |  φονί- [bothe]	
117	695	κύκλῳ	2	κύκλῳ [benloew,boeckh,bothe,brown,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  κύχλῳ [colonna]	
120	704	γένυσιν	2	γένυσιν [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  γένυσι [bothe]	
120	705	πλησθῆναί	3	πλησθῆ- [colonna,dain,dawe,griffith,lj,pearson,reinhardt]  |  πλησθῆναί [benloew,boeckh,bothe,hermann,jebb,storr]  |  πληρω- [brown]	
120	706	τε	2	τε, [benloew,boeckh,bothe,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  θῆναι [brown]	
125	719	ἀντιπάλῳ	2	ἀντιπάλῳ [benloew,boeckh,bothe,brown,colonna,dawe,hermann,jebb,lj,reinhardt,storr]  |  ἀντιπάλου [dain,griffith,pearson]	
125	721	δράκοντος.	2	δράκοντος. [brown,colonna,dain,dawe,griffith,jebb,lj,pearson,reinhardt,storr]  |  δράκοντι. [benloew,boeckh,bothe,hermann]	
127	725	γλώσσης	2	γλώσσης [benloew,boeckh,bothe,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  γλώσσας [brown]	
129	733	προσνισσομένους	2	προσνισσομένους [benloew,boeckh,brown,dain,dawe,griffith,hermann,jebb,reinhardt,storr]  |  προσνισομένους, [colonna,lj,pearson]	bothe
130	736	ὑπεροπλίαις,	4	ὑπεροπλίαις, [bothe,brown,colonna,dain,dawe,griffith,jebb,reinhardt,storr]  |  ὑπεροπτείας [benloew,boeckh]  |  ὑπερόπτας, [hermann,pearson]  |  ὑπεροπτείαις, [lj]	
