# work: tlg0011.tlg002
# base (canonical axis): perseus-grc2
# target: bothe1806-grc1
# generated: 2026-08-30  method: exact anchors plus local sequence alignment
base	target	type	score	review
365	360,361	split_merge	0.892	
366	362	match	0.731	
367	363	match	0.423	REVIEW
370	364,365	split_merge	0.722	
371	366	match	0.871	
375	367,368	split_merge	0.968	
376	369	match	0.957	
377	370	match	0.978	
378	371	match	0.962	
379	372	exact	1.000	
380	373	exact	1.000	
381	374	match	0.962	
382	375	exact	1.000	
383	376	exact	1.000	
384	377	match	0.952	
385	378	match	0.985	
386	379	match	0.963	
387	380	match	0.968	
388	381	match	0.983	
389	382	match	0.983	
390	383	match	0.968	
391	384	exact	1.000	
392	385	match	0.951	
393	386	exact	1.000	
394	387	match	0.981	
395	388	match	0.929	
396	389	match	0.984	
397	390	match	0.969	
398	391	match	0.985	
399	392	match	0.967	
400	393	match	0.984	
401	394	exact	1.000	
402	395	match	0.918	
403	396	match	0.947	
404	397	match	0.955	
405	398	match	0.981	
406	399	match	0.945	
407	400	match	0.984	
408	401	match	0.969	
409	402	match	0.982	
410	403	match	0.966	
411	404	match	0.982	
412	405	match	0.949	
413	406	match	0.983	
414	407	match	0.903	
415	408	match	0.968	
416	409	exact	1.000	
417	410	match	0.971	
418	411	exact	1.000	
419	412	exact	1.000	
420	413	match	0.982	
421	414	match	0.984	
422	415	match	0.984	
423	416	match	0.963	
424	417	match	0.982	
425	418	exact	1.000	
426	419	exact	1.000	
427	420	match	0.982	
428	421	exact	1.000	
429	422	exact	1.000	
430	423	match	0.984	
431	424	exact	1.000	
432	425	match	0.964	
433	426	match	0.984	
434	427	exact	1.000	
435	428	match	0.984	
436	429	match	0.923	
437	430	exact	1.000	
438	431	exact	1.000	
439	432	match	0.825	
440	433	exact	1.000	
441	434	match	0.982	
442	435	exact	1.000	
443	436	exact	1.000	
444	437	exact	1.000	
445	438	exact	1.000	
446	439	match	0.897	
447	440	match	0.967	
448	441	match	0.982	
449	442	match	0.886	
450	443	exact	1.000	
451	444	match	0.982	
452	445	match	0.923	
453	446	exact	1.000	
454	447	match	0.967	
455	448	match	0.986	
456	449	match	0.982	
457	450	match	0.983	
458	451	exact	1.000	
459	452	match	0.983	
460	453	match	0.982	
461	454	exact	1.000	
462	455	match	0.984	
463	456	exact	1.000	
464	457	match	0.984	
465	458	exact	1.000	
466	459	match	0.967	
467	460	match	0.938	
468	461	match	0.986	
469	462	match	0.984	
470	463	exact	1.000	
471	464	match	0.983	
472	465	match	0.986	
473	466	match	0.968	
474	467	exact	1.000	
475	468	exact	1.000	
476	469	match	0.986	
477	470	match	0.985	
478	471	exact	1.000	
479	472	match	0.985	
480	473	match	0.967	
481	474	exact	1.000	
482	475	match	0.982	
483	476	exact	1.000	
484	477	match	0.981	
485	478	match	0.966	
486	479	match	0.935	
487	480	match	0.983	
488	481	exact	1.000	
489	482	exact	1.000	
490	483	exact	1.000	
491	484	match	0.983	
492	485	match	0.984	
493	486	match	0.985	
494	487	exact	1.000	
495	488	exact	1.000	
496	489	exact	1.000	
497	490	match	0.984	
498	491	match	0.964	
499	492	exact	1.000	
500	493	match	0.982	
501	494	match	0.966	
502	495	match	0.984	
503	496	exact	1.000	
504	497	match	0.921	
505	498	match	0.923	
506	499	match	0.954	
507	500	match	0.985	
508	501	exact	1.000	
509	502	match	0.881	
510	503	match	0.985	
511	504	exact	1.000	
512	505	exact	1.000	
513	506	exact	1.000	
514	507	match	0.983	
515	508	match	0.806	
516	509	exact	1.000	
517	510	match	0.982	
518	511	match	0.951	
519	512	match	0.892	
520	513	match	0.951	
521	514	exact	1.000	
522	515	match	0.969	
523	516	exact	1.000	
524	517	match	0.982	
525	518	exact	1.000	
526	519	match	0.978	
527	520	match	0.981	
528	521	match	0.880	
529	522	exact	1.000	
530	523	match	0.974	
531	524	match	0.949	
532	525	match	0.966	
533	526	match	0.984	
534	527	match	0.984	
535	528	match	0.985	
536	529	match	0.984	
537	530	match	0.915	
538	531	match	0.947	
539	532	match	0.947	
540	533	match	0.986	
541	534	exact	1.000	
542	535	exact	1.000	
543	536	match	0.984	
544	537	match	0.983	
545	538	match	0.985	
546	539	match	0.931	
547	540	match	0.983	
548	541	exact	1.000	
549	542	match	0.982	
550	543	match	0.964	
551	544	match	0.885	
552	545	match	0.897	
553	546	match	0.984	
554	547	exact	1.000	
555	548	exact	1.000	
556	549	match	0.971	
557	550	match	0.845	
558	551	match	0.981	
559	552	match	0.982	
560	553	exact	1.000	
561	554	exact	1.000	
562	555	match	0.952	
563	556	match	0.968	
564	557	match	0.986	
565	558	match	0.958	
566	559	match	0.982	
567	560	match	0.814	
568	561	exact	1.000	
569	562	exact	1.000	
570	563	match	0.966	
571	564	match	0.962	
572	565	match	0.966	
573	566	match	0.933	
574	567	exact	1.000	
575	568	exact	1.000	
576	569	match	0.983	
577	570	match	0.903	
578	571	match	0.982	
579	572	match	0.984	
580	573	match	0.955	
581	574	match	0.980	
583	575,576	split_merge	0.886	
584	577	match	0.840	
585	578	match	0.731	
586	579,580	split_merge	0.771	
587	581	match	0.958	
590	582,583	split_merge	0.873	
591	584	match	0.853	
593	585,586	split_merge	0.906	
595	587	match	0.769	
596	588	match	0.679	
597	589,590	split_merge	0.818	
600	591	match	0.968	
601	592,593	split_merge	0.866	
602	594	match	0.839	
605	595,596	split_merge	0.962	
606	597	match	0.892	
607	598,599	split_merge	0.795	
610	600,601	split_merge	0.892	
611	602	match	0.976	
612	603	exact	1.000	
613	604	match	0.944	
614	605	match	0.982	
615	606,607	split_merge	1.000	
616	608	match	0.982	
617	609,610	split_merge	0.886	
620	611,612	split_merge	0.889	
621	613	match	0.978	
622	614	match	0.971	
623	615	match	0.938	
625	616	match	0.939	
626	617	exact	1.000	
627	618	match	0.958	
628	619,620	split_merge	0.794	
630	621	match	0.952	
631	622	match	0.982	
632	623	exact	1.000	
633	624	exact	1.000	
634	625	match	0.984	
635	626	exact	1.000	
636	627	match	0.984	
637	628	exact	1.000	
638	629	match	0.968	
639	630	exact	1.000	
640	631	match	0.984	
641	632	match	0.985	
642	633	exact	1.000	
643	634	exact	1.000	
644	635	exact	1.000	
645	636	match	0.981	
646	637	match	0.875	
647	638	exact	1.000	
648	639	match	0.951	
649	640	match	0.982	
650	641	exact	1.000	
651	642	exact	1.000	
652	643	match	0.984	
653	644	exact	1.000	
654	645	match	0.923	
655	646	exact	1.000	
656	647	exact	1.000	
657	648	match	0.983	
658	649	match	0.983	
659	650	match	0.915	
660	651	match	0.983	
661	652	match	0.984	
662	653	exact	1.000	
663	654	match	0.933	
664	655	match	0.938	
665	656	match	0.984	
666	657	match	0.984	
667	658	match	0.947	
668	659	exact	1.000	
669	660	match	0.985	
670	661	match	0.984	
671	662	exact	1.000	
672	663	match	0.915	
